|name        |t90     |t90_error|flux_batse_64|flux_batse_64_error|
|GRB110901230|  22.528|    5.620|       0.9324|             0.3899|
|GRB100207721|  17.728|    6.492|       0.7419|             0.5987|
|GRB100301068|   0.960|    1.002|       5.2006|             1.0512|
|GRB100728095| 165.378|    2.896|       7.1651|             0.5400|
|GRB100722096|   7.165|    1.055|      17.5033|             0.9010|
|GRB120524134|   0.704|    0.466|       5.4878|             0.7836|
|GRB110523344|  44.544|    2.611|       3.3383|             0.5902|
|GRB111001804|   0.384|    1.361|       2.0170|             0.4612|
|GRB130114019|   8.704|    1.846|       1.3588|             0.3447|
|GRB110318552|  14.464|    1.094|       7.3271|             0.5917|
|GRB081017474|  28.416|    2.757|       1.7846|             0.4459|
|GRB111010899|  18.560|    2.988|       1.4731|             0.4277|
|GRB110717319|  90.369|    0.810|      10.0122|             0.8884|
|GRB081124060|  19.456|    1.086|       2.1683|             1.1452|
|GRB120913997| 130.050|    3.566|       2.7965|             0.4838|
|GRB130131511| 147.459|    1.145|       4.9145|             0.8371|
|GRB080808772| 210.178|    5.976|       1.5163|             0.4103|
|GRB080725435|  25.920|    1.208|       2.4756|             0.7678|
|GRB091002685|   2.752|    3.089|       1.7013|             0.5942|
|GRB110809461|  12.544|    4.615|       4.1779|             0.7309|
|GRB090516853|  14.464|    3.093|       4.8990|             1.0663|
|GRB120426585|  30.973|    3.620|       1.9393|             0.4171|
|GRB080828189|   3.008|    3.329|       2.1249|             0.5268|
|GRB091020977|  37.505|    0.905|       4.9299|             0.6049|
|GRB110117626|  43.264|    1.639|       2.4297|             0.5992|
|GRB091013989|  38.400|    2.996|       1.5627|             0.5215|
